instance_9546

VEHICLE
NUMBER     CAPACITY
  100           50

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0        0.30179909        0.85878709      0              0            100      0
      1        0.75106440        0.02256611      4              0            100      0
      2        0.98864171        0.06135643      2              0            100      0
      3        0.01664975        0.82980193      5              0            100      0
      4        0.34074662        0.25808208      5              0            100      0
      5        0.78946933        0.28453836      6              0            100      0
      6        0.26294951        0.20796652      6              0            100      0
      7        0.46789065        0.12430138      5              0            100      0
      8        0.47981711        0.22045184      5              0            100      0
      9        0.87847784        0.61685995      6              0            100      0
     10        0.75986613        0.16468762      9              0            100      0
     11        0.36204208        0.87045127      6              0            100      0
     12        0.09158402        0.24569961      6              0            100      0
     13        0.44572760        0.86108717      9              0            100      0
     14        0.09090940        0.03033910      5              0            100      0
     15        0.92209455        0.12364392      8              0            100      0
     16        0.27856834        0.62561430      7              0            100      0
     17        0.05350372        0.73355597      7              0            100      0
     18        0.92363806        0.63607815      5              0            100      0
     19        0.40873294        0.41289291      4              0            100      0
     20        0.73433887        0.98546974      1              0            100      0
     21        0.11744133        0.40918696      2              0            100      0
     22        0.82380658        0.70322381      6              0            100      0
     23        0.97237353        0.54353632      9              0            100      0
     24        0.49875176        0.95111730      3              0            100      0
     25        0.89860144        0.35870625      4              0            100      0
     26        0.70367029        0.74164469      8              0            100      0
     27        0.97939633        0.07507998      3              0            100      0
     28        0.83896906        0.45724017      4              0            100      0
     29        0.21985126        0.75483763      8              0            100      0
     30        0.09966220        0.37978825      7              0            100      0
     31        0.69325216        0.07339200      9              0            100      0
     32        0.85326173        0.85646222      9              0            100      0
     33        0.71541845        0.92867180      2              0            100      0
     34        0.62586981        0.06931355      8              0            100      0
     35        0.38058836        0.53413601      6              0            100      0
     36        0.44032630        0.11703361      6              0            100      0
     37        0.98435293        0.39211665      4              0            100      0
     38        0.09536043        0.09712407      6              0            100      0
     39        0.80633370        0.91464957      5              0            100      0
     40        0.74216031        0.37140674      3              0            100      0
     41        0.80843662        0.50613546      9              0            100      0
     42        0.31163155        0.16240567      4              0            100      0
     43        0.04342057        0.15717521      1              0            100      0
     44        0.84303418        0.58479179      6              0            100      0
     45        0.07907187        0.92807908      9              0            100      0
     46        0.93619139        0.45794371      8              0            100      0
     47        0.83916010        0.16562290      5              0            100      0
     48        0.57347618        0.25139681      3              0            100      0
     49        0.32018546        0.06701481      7              0            100      0
     50        0.86243102        0.82639500      4              0            100      0
     51        0.21279735        0.46225800      7              0            100      0
     52        0.68741983        0.46099386      1              0            100      0
     53        0.36402082        0.24485527      7              0            100      0
     54        0.18308058        0.45362548      6              0            100      0
     55        0.24274798        0.65314803      1              0            100      0
     56        0.39797799        0.36709954      6              0            100      0
     57        0.51567497        0.17389099      8              0            100      0
     58        0.95718651        0.62621365      5              0            100      0
     59        0.36753887        0.88638311      1              0            100      0
     60        0.67627643        0.63693358      8              0            100      0
     61        0.37827323        0.31370169      5              0            100      0
     62        0.06205866        0.57703572      8              0            100      0
     63        0.04510491        0.53488113      7              0            100      0
     64        0.69845003        0.38978206      2              0            100      0
     65        0.97626462        0.26389135      9              0            100      0
     66        0.18153161        0.56676804      6              0            100      0
     67        0.19654859        0.46109870      1              0            100      0
     68        0.60355148        0.59701561      5              0            100      0
     69        0.76559886        0.32077939      5              0            100      0
     70        0.30569164        0.37223683      9              0            100      0
     71        0.74135821        0.53183451      3              0            100      0
     72        0.34635726        0.15460433      1              0            100      0
     73        0.92544692        0.08482092      6              0            100      0
     74        0.39946567        0.98113330      7              0            100      0
     75        0.85779775        0.13303573      7              0            100      0
     76        0.58923038        0.96306017      2              0            100      0
     77        0.37457179        0.63665388      1              0            100      0
     78        0.22874104        0.84379943      4              0            100      0
     79        0.10393498        0.53124956      8              0            100      0
     80        0.10860462        0.02304788      8              0            100      0
     81        0.62878424        0.93841064      1              0            100      0
     82        0.72112952        0.05525824      9              0            100      0
     83        0.74961852        0.40447039      4              0            100      0
     84        0.60873125        0.68308351      9              0            100      0
     85        0.03395121        0.75040115      6              0            100      0
     86        0.97501016        0.26518018      1              0            100      0
     87        0.63631952        0.59627328      1              0            100      0
     88        0.95951133        0.85702529      9              0            100      0
     89        0.07264913        0.99978455      7              0            100      0
     90        0.65117890        0.78262601      9              0            100      0
     91        0.93844551        0.86029831      5              0            100      0
     92        0.88055824        0.68200162      3              0            100      0
     93        0.27345552        0.29803104      5              0            100      0
     94        0.57329323        0.12421034      3              0            100      0
     95        0.43620973        0.88234619      6              0            100      0
     96        0.47063631        0.83238580      9              0            100      0
     97        0.25269569        0.26324837      1              0            100      0
     98        0.57575701        0.31494393      9              0            100      0
     99        0.92552401        0.30855157      7              0            100      0
    100        0.39997977        0.52965170      3              0            100      0
