instance_2567

VEHICLE
NUMBER     CAPACITY
  100           50

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0        0.71740043        0.24865618      0              0            100      0
      1        0.76019726        0.37292984      6              0            100      0
      2        0.05252745        0.67925681      1              0            100      0
      3        0.37343708        0.34309247      5              0            100      0
      4        0.28441714        0.33584159      2              0            100      0
      5        0.43245689        0.24994013      2              0            100      0
      6        0.92321090        0.82234488      3              0            100      0
      7        0.13518028        0.81693730      2              0            100      0
      8        0.09675613        0.77925132      3              0            100      0
      9        0.35854156        0.62609200      6              0            100      0
     10        0.81338337        0.58551365      8              0            100      0
     11        0.95496702        0.81241769      7              0            100      0
     12        0.98744356        0.26312930      6              0            100      0
     13        0.04958612        0.86272560      4              0            100      0
     14        0.11972324        0.74071536      2              0            100      0
     15        0.91486968        0.94225256      8              0            100      0
     16        0.83422437        0.71137255      3              0            100      0
     17        0.73024311        0.33105086      5              0            100      0
     18        0.37985551        0.11669582      7              0            100      0
     19        0.05142562        0.76291053      1              0            100      0
     20        0.13668429        0.29960831      7              0            100      0
     21        0.44488509        0.42280260      9              0            100      0
     22        0.39348650        0.41415867      3              0            100      0
     23        0.45571719        0.68238633      2              0            100      0
     24        0.62454899        0.51386714      7              0            100      0
     25        0.33470580        0.20436556      5              0            100      0
     26        0.43740122        0.70990779      9              0            100      0
     27        0.91078449        0.32205922      8              0            100      0
     28        0.10824167        0.47644650      4              0            100      0
     29        0.15003297        0.55305618      4              0            100      0
     30        0.88953028        0.42524248      1              0            100      0
     31        0.36100895        0.86733203      8              0            100      0
     32        0.31246960        0.39389849      4              0            100      0
     33        0.49065237        0.23146036      6              0            100      0
     34        0.42321224        0.32710500      5              0            100      0
     35        0.09190015        0.56412272      4              0            100      0
     36        0.28186163        0.61186669      2              0            100      0
     37        0.64367707        0.28153252      1              0            100      0
     38        0.29694784        0.06020265      1              0            100      0
     39        0.56530282        0.66643297      7              0            100      0
     40        0.66151047        0.73976497      7              0            100      0
     41        0.14929968        0.68521209      4              0            100      0
     42        0.20679500        0.03867649      1              0            100      0
     43        0.01155246        0.59159061      4              0            100      0
     44        0.13811048        0.39249720      9              0            100      0
     45        0.47530022        0.58668213      2              0            100      0
     46        0.35078117        0.19330111      4              0            100      0
     47        0.77346939        0.86692682      1              0            100      0
     48        0.55242669        0.82626541      5              0            100      0
     49        0.64765665        0.80013751      7              0            100      0
     50        0.80545529        0.21451356      1              0            100      0
     51        0.41585950        0.35465477      5              0            100      0
     52        0.21294088        0.48925035      5              0            100      0
     53        0.06141808        0.82936267      7              0            100      0
     54        0.16178648        0.93230011      3              0            100      0
     55        0.40704136        0.78359446      6              0            100      0
     56        0.54178352        0.94487133      6              0            100      0
     57        0.64162261        0.73722899      6              0            100      0
     58        0.93419244        0.55593337      6              0            100      0
     59        0.50134508        0.00716051      3              0            100      0
     60        0.47880749        0.34276264      6              0            100      0
     61        0.86676648        0.84602811      2              0            100      0
     62        0.22794799        0.25730684      6              0            100      0
     63        0.78455484        0.87674215      9              0            100      0
     64        0.87689803        0.37952713      2              0            100      0
     65        0.92455873        0.60998238      4              0            100      0
     66        0.24126531        0.78459694      1              0            100      0
     67        0.84961767        0.92268175      8              0            100      0
     68        0.23882045        0.91035849      1              0            100      0
     69        0.03227587        0.00368683      1              0            100      0
     70        0.90384081        0.85937981      6              0            100      0
     71        0.10982633        0.96617939      9              0            100      0
     72        0.82654820        0.40228607      5              0            100      0
     73        0.09405286        0.88141343      6              0            100      0
     74        0.03096620        0.62210162      3              0            100      0
     75        0.31103966        0.47443339      3              0            100      0
     76        0.43333139        0.98623873      4              0            100      0
     77        0.40721976        0.27608722      2              0            100      0
     78        0.89694493        0.92550615      4              0            100      0
     79        0.40319783        0.69992539      5              0            100      0
     80        0.35603086        0.74938920      3              0            100      0
     81        0.21937568        0.82173148      1              0            100      0
     82        0.25190647        0.09379059      9              0            100      0
     83        0.72627586        0.09812909      8              0            100      0
     84        0.13597904        0.81829389      1              0            100      0
     85        0.68807601        0.05919732      3              0            100      0
     86        0.23621350        0.07582216      6              0            100      0
     87        0.85868373        0.08842433      5              0            100      0
     88        0.42994922        0.46366143      8              0            100      0
     89        0.56255091        0.58741216      6              0            100      0
     90        0.92046004        0.32192412      8              0            100      0
     91        0.74621125        0.73383297      1              0            100      0
     92        0.89669524        0.14468554      6              0            100      0
     93        0.78238792        0.42176272      3              0            100      0
     94        0.79018606        0.83286281      5              0            100      0
     95        0.68038634        0.02040888      5              0            100      0
     96        0.14866854        0.72365077      7              0            100      0
     97        0.33341516        0.87605229      7              0            100      0
     98        0.39834924        0.24843490      7              0            100      0
     99        0.21182606        0.32476892      1              0            100      0
    100        0.35893895        0.99781531      6              0            100      0
