instance_206

VEHICLE
NUMBER     CAPACITY
  100              40

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0     0.63457060     0.81302232          0        0.00000        3.00000        0.00000
      1     0.45363992     0.33598867          1     0.28240794     1.67615700     0.20000000
      2     0.15043072     0.55496085          4     1.20312834     2.36974311     0.20000000
      3     0.17677669     0.43675131          8     1.28071761     1.74768209     0.20000000
      4     0.44010586     0.29206893          6     0.44705081     1.85616469     0.20000000
      5     0.52992117     0.79091781          5     1.17556953     2.34087467     0.20000000
      6     0.93789530     0.90304095          7     1.14009643     1.41961312     0.20000000
      7     0.20894279     0.43584204          5     0.23735374     2.12272310     0.20000000
      8     0.95533311     0.10928293          6     0.74872255     1.29053950     0.20000000
      9     0.43530706     0.25186300          3     1.35940015     2.01968575     0.20000000
     10     0.97518098     0.46927270          3     1.29112113     1.64442241     0.20000000
     11     0.63221633     0.95655984          4     0.00000000     1.77757573     0.20000000
     12     0.83649164     0.27132705          2     0.70303601     2.17665505     0.20000000
     13     0.85000300     0.40507245          9     1.69183171     2.10494709     0.20000000
     14     0.34964359     0.68056154          2     0.62784445     0.84784448     0.20000000
     15     0.69373173     0.00568423          6     0.65704620     2.51538706     0.20000000
     16     0.92543066     0.75771916          4     0.06644529     1.99089599     0.20000000
     17     0.71971452     0.42732534          1     0.00000000     1.63808632     0.20000000
     18     0.62216341     0.52884215          7     2.05033159     2.83479071     0.20000000
     19     0.81616467     0.81858861          2     1.23455882     2.48233271     0.20000000
     20     0.36505228     0.93524009          8     1.05793035     1.36443675     0.20000000
     21     0.72185808     0.40344292          3     1.14187717     2.90274572     0.20000000
     22     0.67414671     0.81737846          8     0.94245076     2.88755488     0.20000000
     23     0.15534994     0.65720588          2     1.76353872     2.55715418     0.20000000
     24     0.77464503     0.90207285          8     1.49872911     2.37619972     0.20000000
     25     0.91405314     0.53740984          8     0.37555224     1.64629149     0.20000000
     26     0.65387845     0.11904459          4     0.38522339     1.62173510     0.20000000
     27     0.90594000     0.14921786          3     0.97260892     2.15841722     0.20000000
     28     0.34445861     0.36727265          6     0.94998693     2.42317486     0.20000000
     29     0.83835363     0.03224199          5     0.47543252     2.41416693     0.20000000
     30     0.16495785     0.93326735          4     0.80395007     2.54632330     0.20000000
     31     0.39454353     0.06375340          2     0.26178181     2.17910099     0.20000000
     32     0.49643654     0.32090005          2     1.11214256     1.40418911     0.20000000
     33     0.34480023     0.93716991          2     0.18240017     0.83596927     0.20000000
     34     0.73015714     0.92213672          3     0.90657324     1.88654447     0.20000000
     35     0.32615837     0.45032120          3     1.05219078     2.77603412     0.20000000
     36     0.45733443     0.61563671          8     1.26073837     2.43826056     0.20000000
     37     0.96154565     0.61416835          5     0.85945469     2.20235276     0.20000000
     38     0.26872510     0.56907189          1     1.73179483     2.58922338     0.20000000
     39     0.53139573     0.66368335          7     0.77441061     2.37427711     0.20000000
     40     0.18429250     0.48453900          9     0.00000000     1.39399362     0.20000000
     41     0.39129376     0.93713540          8     0.88928658     2.48459482     0.20000000
     42     0.58793312     0.45674971          7     0.69831502     1.43054044     0.20000000
     43     0.42780790     0.20589960          9     1.63171697     2.02268577     0.20000000
     44     0.49770540     0.49496263          6     1.69981611     1.98328269     0.20000000
     45     0.98546481     0.49457645          7     0.00000000     1.36583924     0.20000000
     46     0.22383046     0.56492871          2     1.04152846     2.92114639     0.20000000
     47     0.70943183     0.45444432          7     1.43837631     2.80984974     0.20000000
     48     0.77285296     0.90436304          8     1.54807866     3.00000000     0.20000000
     49     0.56842613     0.72176194          9     1.36484146     2.97870398     0.20000000
     50     0.82961696     0.22243088          5     1.25887823     1.87472272     0.20000000
