instance_204

VEHICLE
NUMBER     CAPACITY
  100              40

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0     0.38358802     0.02714187          0        0.00000        3.00000        0.00000
      1     0.01494884     0.34406063          5     0.33924747     2.33546662     0.20000000
      2     0.07319414     0.36710405          6     0.70964217     1.04549372     0.20000000
      3     0.26131248     0.61098987          5     0.67582923     2.20397925     0.20000000
      4     0.13389191     0.21239574          9     0.00000000     0.91463208     0.20000000
      5     0.87135905     0.93209171          4     1.51512909     1.92213440     0.20000000
      6     0.70180154     0.34329847          3     0.49232924     0.98528075     0.20000000
      7     0.30221492     0.22623144          7     0.79530388     1.19394910     0.20000000
      8     0.96551508     0.96166402          6     0.86456633     1.52777839     0.20000000
      9     0.87739766     0.46818921          6     0.71927392     1.37909877     0.20000000
     10     0.04372426     0.50791079          2     0.62328225     1.02510905     0.20000000
     11     0.99176097     0.74095798          4     0.16238594     1.92935944     0.20000000
     12     0.97175670     0.24186455          3     1.14842236     1.81317365     0.20000000
     13     0.64567751     0.63346016          3     0.46424830     2.43606281     0.20000000
     14     0.68522429     0.93426746          5     0.31667686     1.95574737     0.20000000
     15     0.33277556     0.36352259          7     1.06277561     2.50092101     0.20000000
     16     0.34610653     0.20515054          8     0.00000000     0.93935138     0.20000000
     17     0.95501417     0.21291460          8     1.44404805     2.73311615     0.20000000
     18     0.28418925     0.46334472          7     0.50579393     0.93123639     0.20000000
     19     0.66219205     0.39087287          6     0.04360867     1.37717795     0.20000000
     20     0.19886103     0.88719308          4     0.87381667     2.46836257     0.20000000
     21     0.45717475     0.67060512          3     1.34559679     2.52821183     0.20000000
     22     0.40918899     0.58333480          4     0.83876121     1.68794048     0.20000000
     23     0.27049586     0.44503355          9     1.46955621     2.53749132     0.20000000
     24     0.81502521     0.92002267          9     1.04029715     2.30386162     0.20000000
     25     0.62929761     0.55880064          4     0.07670283     1.44547379     0.20000000
     26     0.53434944     0.47618222          6     1.46200728     2.94946313     0.20000000
     27     0.67998612     0.61897510          7     0.79974061     1.13771415     0.20000000
     28     0.18963045     0.50621009          1     0.73055547     2.22832584     0.20000000
     29     0.01011432     0.86171567          1     1.20123279     1.80675590     0.20000000
     30     0.72532833     0.37078255          4     0.00000000     1.61147153     0.20000000
     31     0.53160244     0.54383868          1     0.88332176     1.57244253     0.20000000
     32     0.25071359     0.56784284          3     1.12187815     1.35527182     0.20000000
     33     0.84328502     0.55226791          4     0.76564217     1.55184579     0.20000000
     34     0.18842280     0.90354258          8     0.90144992     1.94987917     0.20000000
     35     0.19709873     0.94839382          5     0.74310422     2.12389088     0.20000000
     36     0.12490648     0.42764363          1     1.33178306     2.60403156     0.20000000
     37     0.95740747     0.69523233          2     1.13783777     1.52526462     0.20000000
     38     0.07553761     0.28327093          1     1.11617780     2.87717700     0.20000000
     39     0.37349528     0.82157463          7     1.43949533     1.87395334     0.20000000
     40     0.61428034     0.11236176          3     1.21098638     1.55140972     0.20000000
     41     0.01049830     0.17321187          4     0.10853785     1.70381141     0.20000000
     42     0.26432449     0.16926168          8     0.33251649     0.97130102     0.20000000
     43     0.63122439     0.51641166          1     1.10191512     2.15908480     0.20000000
     44     0.47626933     0.24357994          4     0.00000000     1.41539884     0.20000000
     45     0.42875171     0.44276181          5     1.63542604     2.00043130     0.20000000
     46     0.98590171     0.82600057          5     0.68637371     2.32168198     0.20000000
     47     0.66664070     0.97924542          8     0.65982485     2.48904848     0.20000000
     48     0.74409467     0.60442543          9     0.37373433     1.07216704     0.20000000
     49     0.76187319     0.35533205          2     0.90537351     1.22138262     0.20000000
     50     0.07382087     0.77563804          4     0.20709544     1.50308681     0.20000000
