instance_18

VEHICLE
NUMBER     CAPACITY
  100              50

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0     0.12918513     0.08785785          0        0.00000        3.00000        0.00000
      1     0.07735837     0.23396051          3     1.72950351     2.78441143     0.20000000
      2     0.34840634     0.53339374          1     1.42130947     3.00000000     0.20000000
      3     0.81334895     0.42060119          8     0.47450128     1.26486635     0.20000000
      4     0.29867893     0.39187896          1     0.61718643     1.41865122     0.20000000
      5     0.43562827     0.14215022          9     0.82039928     1.73155117     0.20000000
      6     0.16184533     0.15133679          2     0.10646603     0.71182442     0.20000000
      7     0.95193923     0.08166435          4     0.79386508     1.31177890     0.20000000
      8     0.01208440     0.47757846          4     1.45889163     3.00000000     0.20000000
      9     0.96342498     0.48109311          8     0.34961975     2.28068638     0.20000000
     10     0.40538356     0.93499023          8     0.77050358     2.71613765     0.20000000
     11     0.68820822     0.54585952          5     1.45612490     2.10434437     0.20000000
     12     0.04734497     0.04357811          7     0.26181495     1.89995801     0.20000000
     13     0.68725640     0.75826418          1     0.02368987     1.78636432     0.20000000
     14     0.68878323     0.05517861          9     1.15305281     2.88194227     0.20000000
     15     0.67241657     0.04701237          5     1.71829581     2.22750568     0.20000000
     16     0.46680570     0.75680202          7     0.31511217     1.72634077     0.20000000
     17     0.94781965     0.90210664          8     0.67990816     2.25959635     0.20000000
     18     0.35613367     0.36299390          2     1.71511388     2.72164512     0.20000000
     19     0.00880949     0.44843322          8     1.40109897     3.00000000     0.20000000
     20     0.94679725     0.47798225          2     0.36241752     1.79396272     0.20000000
     21     0.64127332     0.39781946          2     1.01260257     1.35281730     0.20000000
     22     0.96693748     0.10191664          7     1.74921477     1.99846542     0.20000000
     23     0.31264070     0.57624000          6     0.09101313     0.96018881     0.20000000
     24     0.76390338     0.91272962          5     1.19008791     1.79991162     0.20000000
     25     0.48241550     0.77806228          5     1.41550159     2.12819934     0.20000000
     26     0.92004639     0.25684008          9     1.25943327     1.77049470     0.20000000
     27     0.94347584     0.19385859          3     1.20243323     2.08233261     0.20000000
     28     0.72860211     0.65432680          1     0.95344877     1.50919986     0.20000000
     29     0.57643670     0.61835760          1     0.83178139     1.15197361     0.20000000
     30     0.99575084     0.80059552          4     1.00616741     2.24250221     0.20000000
     31     0.42376605     0.74228209          3     0.71560609     2.70577145     0.20000000
     32     0.13455664     0.04057889          1     0.00000000     0.70139360     0.20000000
     33     0.90051866     0.36082256          6     0.16821784     1.70115829     0.20000000
     34     0.97588980     0.72597373          8     0.85943723     1.92295957     0.20000000
     35     0.42872751     0.21475123          7     0.00000000     0.65219402     0.20000000
     36     0.14346662     0.60723585          5     0.45883822     2.21948004     0.20000000
     37     0.84802461     0.02780184          4     1.44204295     2.31848812     0.20000000
     38     0.51518786     0.73174882          1     0.83732504     1.63916779     0.20000000
     39     0.41192862     0.44331461          6     0.59413332     2.02105212     0.20000000
     40     0.59802216     0.41498610          2     0.75223500     2.61549139     0.20000000
     41     0.06093585     0.88465083          5     0.52670175     1.56689024     0.20000000
     42     0.97625130     0.56775796          5     1.06425178     1.33277214     0.20000000
     43     0.56489325     0.48480225          1     1.17187309     2.94208050     0.20000000
     44     0.58190733     0.65517199          8     0.55187809     1.36146724     0.20000000
     45     0.80291188     0.79719669          1     0.15041232     1.83775973     0.20000000
     46     0.68316108     0.05181893          2     1.81393135     2.53509712     0.20000000
     47     0.90726823     0.52990890          2     0.36231595     1.60435152     0.20000000
     48     0.27718118     0.71628988          6     0.62678504     1.37601519     0.20000000
     49     0.67180550     0.83727950          6     0.98531812     2.47207236     0.20000000
     50     0.97305655     0.24768662          7     0.66301358     2.41796684     0.20000000
     51     0.98152578     0.80277568          9     0.88910317     1.47402620     0.20000000
     52     0.64323813     0.74671292          6     0.11933476     1.86357045     0.20000000
     53     0.83883888     0.88466191          9     0.28937685     2.02584743     0.20000000
     54     0.45977283     0.85838389          8     0.07294887     1.78715682     0.20000000
     55     0.98922884     0.08153284          9     0.63091284     2.41007137     0.20000000
     56     0.90122151     0.47452405          4     1.38843298     2.25178504     0.20000000
     57     0.15489773     0.76237762          3     0.51542252     2.50984955     0.20000000
     58     0.78723019     0.27317989          3     0.14320135     2.03697228     0.20000000
     59     0.74157304     0.50738227          8     0.59468508     2.48663759     0.20000000
     60     0.26055235     0.59209687          4     1.53441930     2.87389684     0.20000000
     61     0.70222652     0.24212722          6     0.00000000     1.86547279     0.20000000
     62     0.76137018     0.82432568          5     0.17674857     1.94471240     0.20000000
     63     0.11032338     0.46169263          3     0.11143500     1.28954434     0.20000000
     64     0.24268401     0.60754150          2     0.73395896     1.03563952     0.20000000
     65     0.75256443     0.87820619          2     0.83243155     1.39991188     0.20000000
     66     0.78584343     0.76548535          5     1.20927215     2.14713502     0.20000000
     67     0.01110680     0.76808423          6     0.59031892     1.60242391     0.20000000
     68     0.67403275     0.74690443          3     1.37050235     2.41388130     0.20000000
     69     0.41741484     0.82636487          9     1.04579568     2.69548750     0.20000000
     70     0.31296909     0.60517001          8     1.88322663     2.09937739     0.20000000
     71     0.09439795     0.62504774          7     1.28028822     2.84873867     0.20000000
     72     0.85908180     0.69071668          4     1.20581496     1.52362788     0.20000000
     73     0.05927283     0.19211757          6     2.28011227     3.00000000     0.20000000
     74     0.46593377     0.43150771          3     0.89727420     2.04450250     0.20000000
     75     0.20008151     0.32201058          8     1.02908802     1.44817543     0.20000000
     76     0.35712308     0.79295081          9     1.59426069     1.98881507     0.20000000
