instance_118

VEHICLE
NUMBER     CAPACITY
  100              50

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0     0.09154388     0.34827873          0        0.00000        3.00000        0.00000
      1     0.07336466     0.40785518          9     0.80197191     2.40400648     0.20000000
      2     0.48028842     0.44472662          1     0.62995481     2.00878978     0.20000000
      3     0.61896491     0.41121185          6     1.47223330     2.13745308     0.20000000
      4     0.70076078     0.33576363          2     1.52227688     2.23944759     0.20000000
      5     0.84208375     0.97547495          6     0.87381446     2.36663818     0.20000000
      6     0.19366738     0.66845447          4     0.39918679     0.91837317     0.20000000
      7     0.28290591     0.52527159          7     0.90612578     1.89786530     0.20000000
      8     0.26678982     0.63929397          3     1.61499286     2.43224168     0.20000000
      9     0.82778639     0.83025908          8     0.36557764     2.30257964     0.20000000
     10     0.80831289     0.41296631          9     0.60589421     1.05960119     0.20000000
     11     0.86338437     0.72901624          5     1.07017303     2.54042745     0.20000000
     12     0.96989042     0.96371758          1     0.26238757     1.97192335     0.20000000
     13     0.26196659     0.98996633          7     0.93682921     2.70880604     0.20000000
     14     0.22874311     0.11176609          4     1.63133991     2.22246838     0.20000000
     15     0.89538974     0.93174815          6     0.11196542     1.90794063     0.20000000
     16     0.77994412     0.18792455          3     0.67275971     2.29817438     0.20000000
     17     0.65215826     0.06747646          2     0.97593558     1.86969721     0.20000000
     18     0.78355694     0.22617385          9     1.39269304     2.33542013     0.20000000
     19     0.39993462     0.17315006          5     1.33786297     3.00000000     0.20000000
     20     0.23267929     0.37509912          5     0.00000000     1.88521647     0.20000000
     21     0.63387805     0.12454763          5     1.94897294     2.33109498     0.20000000
     22     0.26851946     0.54898787          9     1.56939888     2.37880611     0.20000000
     23     0.73795593     0.73297971          6     0.63679981     1.93605614     0.20000000
     24     0.81204200     0.65860158          3     1.09049988     1.66902423     0.20000000
     25     0.51749343     0.79394972          2     0.00000000     1.69590604     0.20000000
     26     0.02832841     0.55302942          1     0.36818314     1.71418667     0.20000000
     27     0.34218666     0.61860895          9     1.35277414     2.76404905     0.20000000
     28     0.59491271     0.96957880          7     1.23037982     1.57973766     0.20000000
     29     0.34993023     0.01250182          1     0.53029537     2.32069874     0.20000000
     30     0.37147284     0.01413993          1     0.00000000     1.44123638     0.20000000
     31     0.43189868     0.02454006          6     0.41291851     1.80545926     0.20000000
     32     0.38695234     0.86202300          1     1.33141923     3.00000000     0.20000000
     33     0.86788672     0.91463870          6     0.96423161     1.36618721     0.20000000
     34     0.83661389     0.94479638          6     0.76159781     1.91217136     0.20000000
     35     0.27533406     0.19283655          2     0.54251677     0.75656253     0.20000000
     36     0.47154579     0.37244025          2     0.00000000     1.33980179     0.20000000
     37     0.69149846     0.99916434          2     0.98718882     1.78407454     0.20000000
     38     0.62268996     0.29628336          6     1.94601250     2.39281178     0.20000000
     39     0.10944109     0.47470483          4     0.50353670     1.40265536     0.20000000
     40     0.86879575     0.77446198          6     1.46803749     2.05429935     0.20000000
     41     0.16323631     0.72638023          8     1.57283974     3.00000000     0.20000000
     42     0.68424934     0.29126534          4     0.44706827     2.41001654     0.20000000
     43     0.04324589     0.24622974          7     0.32946777     1.96502328     0.20000000
     44     0.67005575     0.95155019          9     0.88678247     1.67978740     0.20000000
     45     0.36494395     0.04087342          6     0.00000000     1.56587601     0.20000000
     46     0.78633106     0.31948784          4     0.72559732     2.23701119     0.20000000
     47     0.04879529     0.93267018          4     0.98455709     1.82779193     0.20000000
     48     0.92021126     0.04190015          3     0.91786438     2.90353227     0.20000000
     49     0.39102203     0.89846945          9     0.16206658     1.68959641     0.20000000
     50     0.79548895     0.19594251          6     0.83506191     2.57297659     0.20000000
     51     0.24701340     0.37540933          8     1.72820771     3.00000000     0.20000000
     52     0.81568217     0.45742363          5     1.11931169     1.90645349     0.20000000
     53     0.48933592     0.68818194          5     1.37011111     2.40156269     0.20000000
     54     0.61910141     0.21411599          8     1.30577469     2.39253306     0.20000000
     55     0.19429424     0.95573306          5     1.25279713     3.00000000     0.20000000
     56     0.97351336     0.09670087          2     0.34164500     2.10515904     0.20000000
     57     0.64268929     0.70792115          8     0.70100653     0.96600652     0.20000000
     58     0.48013368     0.86089599          2     1.45951271     2.61064529     0.20000000
     59     0.01363279     0.64404297          1     0.00000000     0.75197864     0.20000000
     60     0.61772889     0.92556298          3     1.38690472     2.26475906     0.20000000
     61     0.63414091     0.02051926          5     1.28417003     2.21138239     0.20000000
     62     0.59506702     0.77660048          4     0.38316512     1.71005154     0.20000000
     63     0.34149897     0.17980081          9     0.37962872     2.32079458     0.20000000
     64     0.82694292     0.38148335          3     1.59479880     2.47206759     0.20000000
     65     0.75422639     0.47448084          6     0.82576185     1.99208522     0.20000000
     66     0.05943074     0.64609569          8     0.02935991     0.75711942     0.20000000
     67     0.01964749     0.74214572          3     1.52241540     2.84435534     0.20000000
     68     0.78028452     0.16228569          2     0.89550006     2.29118586     0.20000000
     69     0.53837097     0.25781965          4     0.45071167     1.78391576     0.20000000
     70     0.47339904     0.76894975          6     0.23431116     1.30278182     0.20000000
     71     0.52752346     0.06378355          3     0.64503992     1.81754744     0.20000000
     72     0.79444087     0.11451016          8     1.50132155     2.39777350     0.20000000
     73     0.81151599     0.64433527          5     1.07233906     2.82192874     0.20000000
     74     0.36526164     0.05488144          3     0.00000000     1.18269455     0.20000000
     75     0.27383944     0.65532935          9     0.09574872     1.78770590     0.20000000
     76     0.62629020     0.52374834          1     0.32184893     2.26768041     0.20000000
     77     0.50746560     0.44403517          4     0.47269827     2.03826571     0.20000000
     78     0.76637691     0.72773933          5     1.07199740     2.72422671     0.20000000
     79     0.51366180     0.50593019          8     1.38055539     2.48254371     0.20000000
     80     0.81578052     0.74938363          9     1.03177285     2.41580009     0.20000000
     81     0.75452650     0.60644466          8     1.23974848     2.17902422     0.20000000
     82     0.95237648     0.23972578          2     0.80299473     1.06796157     0.20000000
     83     0.04115928     0.99032187          9     0.77127117     1.86495590     0.20000000
     84     0.21707274     0.00089264          6     0.93599802     2.42729306     0.20000000
     85     0.10589564     0.82426929          2     0.70500064     0.95463884     0.20000000
     86     0.28199720     0.75240272          6     1.28135633     3.00000000     0.20000000
     87     0.04976728     0.71691865          1     0.87680900     1.22954237     0.20000000
     88     0.00388786     0.96730113          6     0.50774765     1.29241693     0.20000000
     89     0.51874042     0.84126759          2     0.23794550     1.88060808     0.20000000
     90     0.61590046     0.12280022          2     0.07007688     1.25651574     0.20000000
     91     0.34584311     0.71950233          2     0.25767463     0.76694447     0.20000000
     92     0.81885892     0.53592658          4     0.40081894     1.57655466     0.20000000
     93     0.53698868     0.20765728          7     1.53979993     2.90236163     0.20000000
     94     0.90457880     0.88242674          7     0.93872094     2.00115466     0.20000000
     95     0.62472337     0.45860592          1     1.44225836     2.73052549     0.20000000
     96     0.84571218     0.04933272          5     0.84313726     1.38455129     0.20000000
     97     0.43557620     0.07012656          8     0.43546504     0.94146234     0.20000000
     98     0.71754336     0.81249410          5     1.72477102     2.24084496     0.20000000
     99     0.12228815     0.71634233          9     1.02604425     2.30733490     0.20000000
    100     0.82120562     0.08305126          1     0.95115054     2.52413225     0.20000000
