instance_145

VEHICLE
NUMBER     CAPACITY
  100              50

CUSTOMER
CUST NO.         XCOORD.         YCOORD.       DEMAND     READY TIME       DUE DATE    SERVICE TIME

      0     0.61963773     0.88145101          0        0.00000        3.00000        0.00000
      1     0.71181321     0.10509621          2     1.11165977     2.50234723     0.20000000
      2     0.58679140     0.13491192          1     0.85708594     1.87501884     0.20000000
      3     0.29456222     0.67068088          6     0.03178954     1.09042490     0.20000000
      4     0.40444592     0.69673723          9     1.87105834     2.14503717     0.20000000
      5     0.63186371     0.62780398          3     0.37447512     0.66869903     0.20000000
      6     0.64280516     0.82589406          7     0.04513839     0.55929148     0.20000000
      7     0.20289575     0.25636607          3     1.02509177     2.77259207     0.20000000
      8     0.85266721     0.39981022          1     0.41129827     1.01430464     0.20000000
      9     0.87270796     0.13418223          9     0.95846105     1.42624450     0.20000000
     10     0.12138599     0.66921079          3     0.22267270     1.30446661     0.20000000
     11     0.06755143     0.96667176          1     0.56044471     1.44715106     0.20000000
     12     0.92891824     0.29465762          2     1.07943130     2.89246368     0.20000000
     13     0.42567903     0.15441918          6     0.93420875     2.91122293     0.20000000
     14     0.04920454     0.45817682          5     1.21872616     1.93601632     0.20000000
     15     0.42147261     0.26611099          5     1.65958357     2.45677567     0.20000000
     16     0.35867447     0.49902695          6     1.28288257     3.00000000     0.20000000
     17     0.98661494     0.33143133          5     0.67135799     1.05552316     0.20000000
     18     0.79075944     0.31288576          1     1.67716730     2.19159389     0.20000000
     19     0.80335838     0.76100039          3     1.03122139     3.00000000     0.20000000
     20     0.34523189     0.02964255          3     0.83297873     2.83087707     0.20000000
     21     0.11057255     0.98997486          8     1.87663102     2.50864530     0.20000000
     22     0.17642060     0.60998368          1     0.38715154     1.90621257     0.20000000
     23     0.88262010     0.84710193          7     1.52858675     2.13821912     0.20000000
     24     0.09056116     0.30466557          9     0.73873127     1.27587020     0.20000000
     25     0.06929264     0.34302941          1     0.10311967     2.03967738     0.20000000
     26     0.55973238     0.62440348          1     1.64847040     3.00000000     0.20000000
     27     0.06758694     0.80118287          4     1.03322399     1.82966220     0.20000000
     28     0.35205775     0.48549065          5     1.35178876     2.83786035     0.20000000
     29     0.81295180     0.26374984          6     0.83714163     1.77199042     0.20000000
     30     0.98509270     0.32700095          6     0.87161094     1.41222763     0.20000000
     31     0.03310279     0.17337675          8     0.71780813     2.39660740     0.20000000
     32     0.16474035     0.13113062          9     0.40699029     2.06555319     0.20000000
     33     0.81755173     0.31970999          6     0.41048250     1.40349710     0.20000000
     34     0.40894350     0.83191270          7     1.08661377     3.00000000     0.20000000
     35     0.58952528     0.20959771          1     1.00079548     1.77127516     0.20000000
     36     0.71950662     0.97625011          3     0.74663889     1.64387047     0.20000000
     37     0.06987776     0.13462938          9     0.79153407     1.12731528     0.20000000
     38     0.93910176     0.59892398          4     0.00306901     0.90514648     0.20000000
     39     0.87878412     0.22889297          4     1.45876443     1.95014083     0.20000000
     40     0.27421418     0.44244781          2     0.55644095     1.64570940     0.20000000
     41     0.26621363     0.64278078          1     0.20277363     1.84218788     0.20000000
     42     0.38423744     0.24538569          6     0.34444666     1.41910887     0.20000000
     43     0.66159922     0.27760264          2     0.99268895     1.77415204     0.20000000
     44     0.46480256     0.05846152          9     0.83333343     2.17768836     0.20000000
     45     0.67755532     0.57639891          6     0.00000000     1.60168755     0.20000000
     46     0.63412464     0.72444594          8     0.28529584     1.44709504     0.20000000
     47     0.31234255     0.28276336          3     0.53676391     2.26125693     0.20000000
     48     0.78154612     0.17115958          5     1.38881683     1.67005730     0.20000000
     49     0.45943826     0.49231747          3     0.89018095     1.83754480     0.20000000
     50     0.96316975     0.50653195          3     0.46614110     0.68456101     0.20000000
     51     0.39958206     0.17909315          5     1.05530882     1.89600897     0.20000000
     52     0.45551834     0.80222321          6     0.00000000     1.31495678     0.20000000
     53     0.36539945     0.30645066          9     0.80071485     1.54304349     0.20000000
     54     0.82198083     0.66461557          8     1.02452624     2.96584558     0.20000000
     55     0.31215820     0.31777793          1     0.46339399     1.51669502     0.20000000
     56     0.53550422     0.86116403          4     0.75199717     1.83811808     0.20000000
     57     0.90523207     0.36629120          9     1.61561859     2.50969839     0.20000000
